lang,dtime,vlang,pcommit,op,ttype,mtype,memory,allocs,tmin,tmax,tmedian,tmean,tstddev
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,dot,Complex{Float32},tiny,0,0,28.528169014084508,109.05633802816901,29.49698189134809,30.79888299798792,4.922041381506449
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,dot,Complex{Float32},medium,0,0,1443.1,8281.6,1557.3,1603.79109,295.9561895555245
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,dot,Complex{Float32},small,0,0,150.1581027667984,398.7312252964427,155.3399209486166,164.00933952569176,26.170546462683422
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,dot,Complex{Float32},large,0,0,24996,332841,27769,28776.0164,6440.8936195215065
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,dot,Complex{Float32},huge,0,0,427869,1366574,479266,502515.1291768541,76705.28110770033
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,hadamard,Complex{Float64},medium,432080,2,44894,1299884,57546,77628.7242,113898.55437295134
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,hadamard,Complex{Float64},small,16128,1,2023.4444444444443,185077.55555555556,2419.222222222222,3289.7394222222224,8737.828815113813
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,hadamard,Complex{Float64},large,16000080,2,3086480,10495929,5230088.5,5287087.844279661,1984700.09959497
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,hadamard,Complex{Float64},tiny,208,1,81.87837837837837,2062.060291060291,83.91995841995842,100.85087661122661,109.89221152708522
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,hadamard,Float32,medium,108112,2,13293,1781426,15291,21573.7071,65179.23339486361
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,hadamard,Float32,small,4160,1,1268,190860.6,1385.2,1701.14565,6232.619473092732
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,hadamard,Float32,large,4000080,2,662180,2856609,777146,969265.9683655537,399562.9374128322
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,hadamard,Float32,tiny,112,1,73.34742268041236,4693.621649484536,77.48041237113402,95.8279730927835,216.45626853901624
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,hadamard,Float64,medium,216080,2,23344,1308031,29280.5,40702.4844,87651.04765260834
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,hadamard,Float64,small,8128,1,1521.5,161938.6,1617.6,2179.8487700000005,7260.567504636634
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,hadamard,Float64,large,8000080,2,1553846,4774666,1860249,2084056.8550481775,534257.9184171245
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,hadamard,Float64,tiny,144,1,74.89392378990732,2668.569515962925,76.13800205973223,90.0589402677652,101.88156254086302
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,hadamard,Complex{Float32},medium,216080,2,60792,1399356,61496,76020.0393,93934.06807866109
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,hadamard,Complex{Float32},small,8128,1,3372,199190.375,3452.625,4153.433075,8384.423464638803
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,hadamard,Complex{Float32},large,8000080,2,2097611,6133813,2289918,2580236.771103055,489131.65033570776
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,hadamard,Complex{Float32},tiny,144,1,90.09768907563026,2182.246848739496,91.42121848739495,104.36253844537815,99.04523397370774
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,tcontract,Complex{Float64},medium,1808,1,38590,135481,41255,43306.8935,7440.192299833628
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,tcontract,Complex{Float64},small,144,1,111.62363238512035,1894.144420131291,116.1504376367615,133.41749463894968,106.97495692556826
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,tcontract,Complex{Float64},large,14528,1,3063502,5156174,3244240,3363801.461952862,316223.2867702371
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,tcontract,Complex{Float64},tiny,96,1,47.737588652482266,3470.1256332320163,50.22289766970618,67.34840010131711,192.47249067549382
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,tcontract,Float32,medium,496,1,33330,109705,34469,36557.0199,6534.559233042501
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,tcontract,Float32,small,96,1,103.5538954108858,4766.935965848453,105.27641408751334,125.05703180362859,213.38608450905375
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,tcontract,Float32,large,3776,1,2628119,5640443,2736576,2819722.7741389046,245208.76388904653
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,tcontract,Float32,tiny,96,1,48.07403651115619,4659.471602434077,50.55679513184584,65.82261288032456,203.79890235660503
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,tcontract,Float64,medium,896,1,33298,124389,35619,37286.8393,6544.473007016644
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,tcontract,Float64,small,112,1,103.05561497326204,4616.774331550802,105.57486631016043,125.84329037433154,224.13795917776267
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,tcontract,Float64,large,7360,1,2629240,5746117,2775219,2835351.2782509937,253051.7283744769
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,tcontract,Float64,tiny,96,1,48.09625126646403,3989.758865248227,50.50861195542046,65.72855906788247,199.51426474081777
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,tcontract,Complex{Float32},medium,896,1,42333,130197,44260,47014.4926,8766.459783907045
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,tcontract,Complex{Float32},small,112,1,121.98333333333333,4610.925555555556,124.25111111111111,149.0253802222222,236.88539699604289
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,tcontract,Complex{Float32},large,7360,1,3382519,5400634,3514965.5,3689148.109305761,361155.74473574257
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,tcontract,Complex{Float32},tiny,96,1,48.418864097363084,3834.2413793103447,50.99543610547667,66.74168711967545,208.41288161365065
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,indexsum,Complex{Float64},medium,14864,11,23783,110491,25149,26405.2934,4395.726740468989
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,indexsum,Complex{Float64},small,2144,11,2090.222222222222,194967.11111111112,2143.777777777778,2530.3593222222225,4684.945418821377
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,indexsum,Complex{Float64},large,160416,12,1212553,2851002,1315192,1381687.8999444135,177321.43664711594
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,indexsum,Complex{Float64},tiny,480,11,908.7105263157895,108581.05263157895,957.8947368421053,1122.4596,2470.0897786657815
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,indexsum,Float32,medium,4112,11,19315,2692590,21581,22401.8024,26963.284034622848
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,indexsum,Float32,small,832,11,1895.2,410511.1,1938.8,2184.63633,5951.826287996263
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,indexsum,Float32,large,40416,12,203314,1601218,216879.5,240058.6825,71617.6376281879
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,indexsum,Float32,tiny,432,11,882.5,96198.62,958.52,1089.0622239999998,2385.0334045886643
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,indexsum,Float64,medium,7696,11,15900,94666,17458,19134.8156,4410.294060736411
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,indexsum,Float64,small,1232,11,1910.4,207549.6,1955.2,2209.7997800000003,3410.9743011084433
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,indexsum,Float64,large,80416,12,440653,2172127,499726,531191.3279656467,108705.21118570841
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,indexsum,Float64,tiny,448,11,916.9830508474577,82031.86440677966,959.8474576271186,1084.4949389830508,2204.0739412168714
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,indexsum,Complex{Float32},medium,7696,11,48760,133355,51586,54329.4083,7548.123073757129
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,indexsum,Complex{Float32},small,1232,11,3183.625,327436.875,3454.5,3774.9616,6269.2407744682205
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,indexsum,Complex{Float32},large,80416,12,1806293,3943675,1999736,2065163.9253421817,225512.93424775384
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,indexsum,Complex{Float32},tiny,448,11,937.7619047619048,228340.95238095237,980.5952380952381,1153.962704761905,4003.0810099589767
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,trace,Complex{Float64},medium,0,0,122.26222222222222,310.15444444444444,131.14111111111112,137.38244355555554,13.803594727959558
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,trace,Complex{Float64},small,0,0,11.289579158316633,88.33066132264528,11.423847695390782,12.562500300601203,2.8933138418916755
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,trace,Complex{Float64},large,0,0,1975.1,10714.9,2074.1,2243.42055,537.0264552608768
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,trace,Complex{Float64},tiny,0,0,5.383,70.73,5.6,6.097979399999999,1.9470068729082481
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,trace,Float32,medium,0,0,118.08315098468272,320.699124726477,130.77899343544857,132.87158096280086,12.811059629716851
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,trace,Float32,small,0,0,11.396793587174349,84.04308617234469,11.913827655310621,12.469281563126252,2.508167567994374
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,trace,Float32,large,0,0,1437.5,8859.4,1443.1,1549.2003,307.6997710282201
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,trace,Float32,tiny,0,0,5.038,74.187,5.278,5.6506648,1.6185519916567181
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,trace,Float64,medium,0,0,123.95356738391845,386.94677236693093,132.95469988674972,135.94908618346545,11.8226478153851
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,trace,Float64,small,0,0,10.645645645645645,89.41841841841841,11.98898898898899,12.651912712712713,2.740763105640153
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,trace,Float64,large,0,0,1859.8,10183.2,1904.4,2110.45144,519.4953080918435
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,trace,Float64,tiny,0,0,5.028,57.256,5.359500000000001,6.1781912,1.6736120979450402
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,trace,Complex{Float32},medium,0,0,118.08946772366932,241.71800679501698,130.73499433748583,134.90442310305778,12.845178369376063
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,trace,Complex{Float32},small,0,0,11.824649298597194,54.24849699398798,11.939879759519037,13.432707615230463,3.1288002617799755
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,trace,Complex{Float32},large,0,0,2182.2,11874.4,2250.2,2484.7065399999997,625.1877770197383
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,trace,Complex{Float32},tiny,0,0,5.384,80.036,5.606,6.028004900000002,1.569483107140166
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,diag,Complex{Float64},tiny,1824,37,5301.666666666667,900822.3333333334,5593.833333333333,6914.640833333335,15656.381165828494
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,diag,Complex{Float64},medium,114464,919,161343,4379160,166158,199661.0116,205229.3631897575
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,diag,Complex{Float64},small,29472,429,69619,4237938,71413,84400.9996,113272.36688816933
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,diag,Complex{Float64},large,301184,1409,268260,4604558,286416,348033.8685,278379.9170938743
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,diag,Complex{Float64},huge,8463440,4929,1996508,450336484,2492494.5,3128590.3740554154,11257070.403848883
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,diag,Float32,tiny,1744,37,5718.5,879332.8333333334,5960.5,7253.599733333334,15676.752992069947
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,diag,Float32,medium,59328,919,161200,5766801,171262,212617.6438,218295.77990362092
